FILE,w(Genre),w(Historical),w(Interior),w(Landscape),w(Mythological),w(Portrait),w(Religious),w(StillLife),w(Study),EXPECTED,PREDICTED
rawdata/art/types/test/Historical/04023-1hunyadi.jpg,0.3563,0.0003,0.0008,0.0001,0.1599,0.0006,0.9941,0.0002,0.0002,Historical,Religious
rawdata/art/types/test/Historical/06021-3triumph.jpg,0.0682,0.0001,0.0003,0.0000,0.0014,0.0000,1.0000,0.0003,0.0000,Historical,Religious
rawdata/art/types/test/Historical/07998-magnani.jpg,0.0000,0.0002,0.0007,0.0037,0.9989,0.0000,0.9977,0.0135,0.0001,Historical,Mythological
rawdata/art/types/test/Historical/11288-310delac.jpg,0.3961,0.0009,0.0006,0.0000,0.9849,0.0012,0.5974,0.2549,0.0004,Historical,Mythological
rawdata/art/types/test/Historical/11367-5delaroc.jpg,0.8786,0.0003,0.0005,0.0000,0.0022,0.0292,0.7590,0.0010,0.0001,Historical,Genre
rawdata/art/types/test/Historical/14349-allegory.jpg,0.0008,0.0000,0.0001,0.0000,0.3945,0.0000,1.0000,0.0001,0.0000,Historical,Religious
rawdata/art/types/test/Historical/16821-2cesari1.jpg,0.0004,0.0005,0.0026,0.0000,0.2110,0.0003,0.9998,0.0012,0.0001,Historical,Religious
rawdata/art/types/test/Historical/18489-septimiu.jpg,0.4924,0.0002,0.0006,0.0003,0.9993,0.0038,0.3900,0.0001,0.0001,Historical,Mythological
rawdata/art/types/test/Historical/18921-21pardon.jpg,0.9984,0.0001,0.0004,0.0000,0.0011,0.0000,0.9540,0.0002,0.0000,Historical,Genre
rawdata/art/types/test/Historical/19354-maryscot.jpg,0.8551,0.0004,0.0011,0.0001,0.0001,0.0474,0.0153,0.0379,0.0004,Historical,Genre
rawdata/art/types/test/Historical/20185-commemor.jpg,0.6695,0.0007,0.0023,0.0000,0.0266,0.0444,0.9919,0.0005,0.0003,Historical,Religious
rawdata/art/types/test/Historical/21468-queen.jpg,0.0005,0.0003,0.0013,0.0000,0.1145,0.4766,0.9431,0.0002,0.0002,Historical,Religious
rawdata/art/types/test/Historical/22178-royal_co.jpg,0.0192,0.0001,0.0001,0.0000,0.7730,0.0000,1.0000,0.0000,0.0000,Historical,Religious
rawdata/art/types/test/Historical/22274-abductio.jpg,0.7833,0.0014,0.0079,0.2787,0.0024,0.0002,0.0707,0.1104,0.0018,Historical,Genre
rawdata/art/types/test/Historical/23540-2hunyadi.jpg,0.2380,0.0012,0.0024,0.3013,0.0000,0.0037,0.0349,0.0164,0.0006,Historical,Landscape
rawdata/art/types/test/Historical/24129-scene9a.jpg,0.0000,0.0002,0.0003,0.0218,0.3801,0.0000,1.0000,0.0002,0.0001,Historical,Religious
rawdata/art/types/test/Historical/25137-lucretia.jpg,0.7001,0.0004,0.0007,0.0027,0.9948,0.0006,0.9249,0.0000,0.0002,Historical,Mythological
rawdata/art/types/test/Historical/28588-paris5.jpg,0.0036,0.0004,0.0009,0.9989,0.0009,0.0030,0.0057,0.0006,0.0003,Historical,Landscape
rawdata/art/types/test/Historical/30955-belisari.jpg,0.9992,0.0003,0.0011,0.0000,0.0077,0.0000,0.9693,0.0004,0.0001,Historical,Genre
rawdata/art/types/test/Historical/33171-waterloo.jpg,0.0000,0.0001,0.0002,1.0000,0.0000,0.0000,0.0238,0.0000,0.0000,Historical,Landscape
rawdata/art/types/test/Historical/33335-1socrate.jpg,0.0309,0.0007,0.0015,0.0000,0.9270,0.0002,0.9976,0.0001,0.0002,Historical,Religious
rawdata/art/types/test/Historical/33484-02histor.jpg,0.7215,0.0006,0.0009,0.0001,0.0000,0.9759,0.0402,0.0000,0.0003,Historical,Portrait
rawdata/art/types/test/Historical/33489-06histor.jpg,0.0709,0.0003,0.0009,0.0007,0.0004,0.0003,0.9995,0.0002,0.0001,Historical,Religious
rawdata/art/types/test/Historical/34296-sabine2.jpg,0.8557,0.0002,0.0005,0.0005,0.9904,0.0000,0.9781,0.0002,0.0001,Historical,Mythological
rawdata/art/types/test/Historical/34316-maruce16.jpg,0.0030,0.0000,0.0001,0.0000,0.9969,0.0000,1.0000,0.0000,0.0000,Historical,Religious
rawdata/art/types/test/Historical/37527-2farnes2.jpg,0.0000,0.0000,0.0002,0.0000,0.9971,0.0000,1.0000,0.0000,0.0000,Historical,Religious
rawdata/art/types/test/Historical/38424-2louis.jpg,0.8930,0.0004,0.0010,0.4353,0.0075,0.0018,0.1105,0.0002,0.0002,Historical,Genre
rawdata/art/types/test/Historical/38536-2allegor.jpg,0.3530,0.0002,0.0007,0.0000,0.0004,0.1887,0.7463,0.0041,0.0001,Historical,Religious
rawdata/art/types/test/Historical/38750-colbert1.jpg,0.0057,0.0002,0.0013,0.0307,0.0038,0.0010,0.9043,0.0000,0.0001,Historical,Religious
rawdata/art/types/test/Historical/38958-04banque.jpg,0.0493,0.0002,0.0009,0.0002,0.8808,0.0002,0.9816,0.0001,0.0001,Historical,Religious
rawdata/art/types/test/Historical/39014-1hall2.jpg,0.0002,0.0003,0.0029,0.0004,0.9703,0.0000,0.9999,0.0000,0.0001,Historical,Religious
rawdata/art/types/test/Historical/41521-z_battle.jpg,0.0083,0.0002,0.0005,0.0000,0.0581,0.0002,0.9995,0.0090,0.0001,Historical,Religious
rawdata/art/types/test/Historical/42149-conquest.jpg,0.0016,0.0000,0.0001,0.0000,0.0023,0.0000,1.0000,0.0000,0.0000,Historical,Religious
rawdata/art/types/test/Historical/42379-council.jpg,0.0006,0.0014,0.0035,0.9971,0.0022,0.0047,0.0033,0.0024,0.0012,Historical,Landscape
rawdata/art/types/test/Historical/43237-ariovist.jpg,0.8563,0.0004,0.0006,0.0146,0.0427,0.0000,0.9088,0.0000,0.0001,Historical,Religious
rawdata/art/types/test/Historical/43257-michelan.jpg,0.9994,0.0002,0.0010,0.0002,0.0000,0.0001,0.9375,0.0000,0.0001,Historical,Genre
rawdata/art/types/test/Historical/44238-gabbard.jpg,0.0025,0.0007,0.0011,0.9997,0.0194,0.0080,0.0003,0.0001,0.0003,Historical,Landscape
rawdata/art/types/test/Historical/44721-farnese1.jpg,0.0010,0.0001,0.0033,0.0000,0.0000,0.0000,0.9983,0.0001,0.0000,Historical,Religious
rawdata/art/types/test/Interior/07880-1camerin.jpg,0.0010,0.0001,0.0015,0.0000,0.3193,0.0003,0.9997,0.0000,0.0000,Interior,Religious
rawdata/art/types/test/Interior/08303-pitti.jpg,0.0047,0.0001,0.0008,0.0004,0.0103,0.0006,0.9929,0.0000,0.0000,Interior,Religious
rawdata/art/types/test/Interior/09663-1stufa1.jpg,0.0002,0.0002,0.0075,0.0000,0.1145,0.0051,0.9990,0.0000,0.0001,Interior,Religious
rawdata/art/types/test/Interior/11385-interiox.jpg,0.9832,0.0008,0.0068,0.0001,0.0005,0.0002,0.4241,0.0022,0.0003,Interior,Genre
rawdata/art/types/test/Interior/14015-1zenob01.jpg,0.0114,0.0008,0.0074,0.0504,0.0415,0.0002,0.7759,0.0003,0.0006,Interior,Religious
rawdata/art/types/test/Interior/14840-berlinpa.jpg,0.0049,0.0004,0.0148,0.0094,0.0000,0.0005,0.6532,0.0002,0.0004,Interior,Religious
rawdata/art/types/test/Interior/15483-0chapel.jpg,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,Interior,Religious
rawdata/art/types/test/Interior/18716-portego.jpg,0.0001,0.0012,0.0147,0.0820,0.0273,0.0050,0.4059,0.0041,0.0013,Interior,Religious
rawdata/art/types/test/Interior/18963-crocett1.jpg,0.0000,0.0002,0.0018,0.0000,0.3599,0.0016,0.9997,0.0000,0.0001,Interior,Religious
rawdata/art/types/test/Interior/23525-demoliti.jpg,0.0041,0.0009,0.0074,0.1257,0.0000,0.0000,0.6669,0.0004,0.0003,Interior,Religious
rawdata/art/types/test/Interior/26334-manwoman.jpg,1.0000,0.0002,0.0009,0.0038,0.0001,0.0011,0.0004,0.0006,0.0001,Interior,Genre
rawdata/art/types/test/Interior/28339-pitti1.jpg,0.2048,0.0010,0.0161,0.4628,0.0008,0.0026,0.0047,0.0000,0.0006,Interior,Landscape
rawdata/art/types/test/Interior/31418-004sienb.jpg,0.0296,0.0002,0.0040,0.0001,0.0000,0.0001,0.9977,0.0000,0.0001,Interior,Religious
rawdata/art/types/test/Interior/35185-portuga1.jpg,0.0000,0.0000,0.0034,0.0000,0.0001,0.0000,1.0000,0.0000,0.0000,Interior,Religious
rawdata/art/types/test/Interior/37680-interior.jpg,0.9998,0.0007,0.0007,0.0004,0.0021,0.0000,0.0105,0.7077,0.0003,Interior,Genre
rawdata/art/types/test/Interior/38567-gallery4.jpg,0.9520,0.0001,0.0007,0.0002,0.0000,0.0000,0.9901,0.0000,0.0000,Interior,Religious
rawdata/art/types/test/Interior/38903-00bagli1.jpg,0.0019,0.0005,0.0020,0.0020,0.9695,0.0023,0.8704,0.0000,0.0003,Interior,Mythological
rawdata/art/types/test/Interior/41878-vendra01.jpg,0.0104,0.0005,0.0087,0.0050,0.0000,0.0055,0.4684,0.0004,0.0003,Interior,Religious
rawdata/art/types/test/Interior/41883-vendra06.jpg,0.0001,0.0003,0.0045,0.0003,0.1134,0.0001,0.9900,0.0028,0.0002,Interior,Religious
rawdata/art/types/test/Interior/42011-stupinig.jpg,0.0000,0.0005,0.0166,0.0010,0.3099,0.0158,0.7827,0.0005,0.0004,Interior,Religious
rawdata/art/types/test/Interior/44680-tribuna.jpg,0.9817,0.0000,0.0004,0.0000,0.0007,0.0000,0.9998,0.0000,0.0000,Interior,Religious
rawdata/art/types/test/Landscape/02628-landscap.jpg,0.9879,0.0001,0.0004,0.9730,0.0000,0.0000,0.0023,0.0000,0.0001,Landscape,Genre
rawdata/art/types/test/Landscape/03250-landsca2.jpg,0.0009,0.0002,0.0005,0.9997,0.0001,0.0003,0.0007,0.0012,0.0002,Landscape,Landscape
rawdata/art/types/test/Landscape/03652-nieukoop.jpg,0.0000,0.0003,0.0008,1.0000,0.0001,0.0000,0.0006,0.0002,0.0002,Landscape,Landscape
rawdata/art/types/test/Landscape/03683-italland.jpg,0.0222,0.0017,0.0019,0.8980,0.5062,0.0036,0.0007,0.4785,0.0013,Landscape,Landscape
rawdata/art/types/test/Landscape/03972-bello200.jpg,0.0000,0.0002,0.0014,0.9941,0.0008,0.0019,0.0222,0.0001,0.0001,Landscape,Landscape
rawdata/art/types/test/Landscape/03973-bello201.jpg,0.0001,0.0004,0.0022,0.9947,0.0049,0.0034,0.0130,0.0001,0.0002,Landscape,Landscape
rawdata/art/types/test/Landscape/03993-bello3023.jpg,0.0007,0.0004,0.0017,0.9996,0.0001,0.0052,0.0009,0.0000,0.0003,Landscape,Landscape
rawdata/art/types/test/Landscape/04123-peasants.jpg,0.0016,0.0011,0.0025,0.9986,0.0083,0.0002,0.0137,0.0047,0.0008,Landscape,Landscape
rawdata/art/types/test/Landscape/04410-landscap.jpg,0.0007,0.0003,0.0014,1.0000,0.0000,0.0000,0.0017,0.0000,0.0002,Landscape,Landscape
rawdata/art/types/test/Landscape/04559-yosemite.jpg,0.0011,0.0003,0.0006,1.0000,0.0013,0.0013,0.0001,0.0002,0.0001,Landscape,Landscape
rawdata/art/types/test/Landscape/04695-041tivol.jpg,0.0258,0.0032,0.0087,0.9990,0.0004,0.0530,0.0009,0.0016,0.0023,Landscape,Landscape
rawdata/art/types/test/Landscape/04775-landsca2.jpg,0.0004,0.0002,0.0006,1.0000,0.0000,0.0000,0.0014,0.0005,0.0001,Landscape,Landscape
rawdata/art/types/test/Landscape/04797-landfarm.jpg,0.0029,0.0004,0.0007,0.9994,0.0009,0.0006,0.0006,0.0214,0.0002,Landscape,Landscape
rawdata/art/types/test/Landscape/04910-panorami.jpg,0.0000,0.0002,0.0011,0.9969,0.0211,0.0000,0.1406,0.0001,0.0001,Landscape,Landscape
rawdata/art/types/test/Landscape/04981-moonlit.jpg,0.0001,0.0012,0.0021,1.0000,0.0002,0.0007,0.0007,0.0002,0.0004,Landscape,Landscape
rawdata/art/types/test/Landscape/05055-landscap.jpg,0.0000,0.0004,0.0007,1.0000,0.0044,0.0000,0.0083,0.0006,0.0002,Landscape,Landscape
rawdata/art/types/test/Landscape/05172-river_v.jpg,0.0003,0.0003,0.0017,1.0000,0.0010,0.0003,0.0002,0.0004,0.0002,Landscape,Landscape
rawdata/art/types/test/Landscape/05414-italian.jpg,0.0199,0.0011,0.0015,0.9999,0.0137,0.0006,0.0005,0.0003,0.0008,Landscape,Landscape
rawdata/art/types/test/Landscape/05420-landscap.jpg,0.0008,0.0004,0.0007,0.9999,0.0054,0.0036,0.0017,0.0000,0.0004,Landscape,Landscape
rawdata/art/types/test/Landscape/05715-03beach.jpg,0.3032,0.0001,0.0004,0.9884,0.0000,0.0011,0.0007,0.0001,0.0000,Landscape,Landscape
rawdata/art/types/test/Landscape/06143-mountain.jpg,0.0002,0.0007,0.0025,1.0000,0.0017,0.0000,0.0135,0.0000,0.0003,Landscape,Landscape
rawdata/art/types/test/Landscape/06278-kaags.jpg,0.0010,0.0016,0.0034,0.9998,0.0003,0.0079,0.0001,0.0162,0.0013,Landscape,Landscape
